"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"648","acu","Achuar","Achual; Achuar-Shiwiar; Achuale; Achuara; Jívaro; Maina","Threatened (20 percent certain, based on the evidence available)","5,443","Chicham family (Jivaroan)","","","Kaufman (2007: 69) considers Jívaro a “language area” with two emergent languages, Jívaro and Aguaruna. Shuar, Achuar, Aguaruna, and Huambisa are closely related languages or dialects of a single language.","Peru;Ecuador;","South America","-2.876318, -77.586775"
"1004","acv","Achumawi","Achumawi; Achomawi; Pitt River; Achoma'wi; Achowawi;","Critically Endangered (60 percent certain, based on the evidence available)","<10","Palaihnihan","Downriver dialect groups: Madesiwi, Itsatawi, Ilmawi, Achumawi (proper); Upriver dialect groups: Atwamwi, Astariwawi, Kosalektawi, Hammawi, Hewisedawi","","","USA;","North America","41.320107,-121.129761"
"650","kjq","Acoma-Laguna","Western Keres Pueblo; Western Keresan; Acoma;","Threatened (20 percent certain, based on the evidence available)","~4,000","Keresan","Acoma; Laguna","","","USA;","North America","34.8964,-107.5816"
"6909","ads","Adamorobe Sign Language","","Threatened (100 percent certain, based on the evidence available)","35","Sign Language; African","","","","Ghana;","Africa","5.859378, -0.197951"
"9470","adn","Adang","Alor;","Endangered (100 percent certain, based on the evidence available)","7,000","Timor-Alor-Pantar; Alor","","","","Indonesia;","Southeast Asia","-8.195, 124.484"
"2827","tiu","Adasen Itneg","Adasen; Addasen Tinguian; Addasen; Itneg, Adasen","Threatened (40 percent certain, based on the evidence available)","4,000","Austronesian; Malayo-Polynesian; Northern Luzon; Cagayan Valley","Western Addasen; Eastern Addasen;","","","Philippines;","Southeast Asia",""
"1130","adi","Adi","崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing","At risk (20 percent certain, based on the evidence available)","100,190","Sino-Tibetan; Tani","Ashing; Bokar; Tangam; Shimong; Gallong; Minyong; Pasi; Pailibo; Bori; Karko; Pangi; Padam; Komkar; Ramo","","Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
","India;China;","South Asia;East Asia","28.526319,93.115814"
"10754","dth","Adithinngithigh","Adetingiti","Dormant ()","No known L1 speakers","Pama-Nyungan; Paman","","""According to Sutton (2001:459), this is a member of Northern Paman, and it is separate from Arraythinngith."" (AUSTLANG)","","Australia;","Australia","-12.887711, 141.717248"
"3593","adt","Adnyamathanha","Adynyamathanha; Wailpi; Wailbi; Waljbi; Wipie; Ad'n'amadana; Anjimatana; Anjiwatana; Archualda; Benbakanjamata; Binbarnja; Gadjnjamada; Jandali; Kanjimata; Keydnjmarda; Mardala; Nimalda; Nuralda; Unyamootha; Umbertana; Adnyamathana; Anjamutina; Anyamatana; Kudnamietha; Kutchamoota; Keydnjamarda; Mardula; Nimbalda; Nimbaldi; Atnyamathanha;","Endangered (20 percent certain, based on the evidence available)","100","Pama-Nyungan; Thura-Yura","","","","Australia;","Australia","-30.83714135,139.1215397"
"581","adz","Adzera","Azera, Acira, Atzera, Atsera","Vulnerable (20 percent certain, based on the evidence available)","28,900","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","Amari;","","","Papua New Guinea;","Pacific","-6.39, 146.29"
"3596","aeq","Aer","","Endangered (20 percent certain, based on the evidence available)","200","Indo-European; Indo-Iranian; Indo-Aryan; Central Zone","Jikrio Goth Aer; Jamesabad Aer","","","Pakistan;","South Asia","25.272921, 69.290285"
"3600","aft","Afitti","Ditti; Unietti; Affitti; Dinik; Affiti;","Endangered (60 percent certain, based on the evidence available)","~4,000","Nyimang","Afitti; Ditti","","","Sudan;","Africa",""
"2799","ulf","Afra","Usku","Threatened (60 percent certain, based on the evidence available)","~115","Isolate; Pacific","","","","Indonesia;","Southeast Asia","-3.5449,140.7499"
"10069","5qc","Aftari","","Endangered (20 percent certain, based on the evidence available)","<500","Indo-European; Indo-Iranian; Iranian; Northwest; Semnan area","","","","Iran;","Near East","35.36, 53.7"
"3879","avo","Agavotaguerra","Agavotoküeng; Agavotoqüeng; Agavo-queng","Dormant ()","0","Arawakan; Southern Arawakan; Central","","Agayotoguerra may be a dialect of Yawalapití. Ethnologue (2106) lists it as ""unclassified"" and related to Waurá [wau] and to Yawalapití [yaw]; for number of speakers it gives ""10 (extinct)"".

""The Agavotoqëng are a tropical forest tribe who live in the Xingú park, Mato Grosso state, Brazil; their village is on the east side of the Xingú River, between the Kuluene and Kurizevo rivers. The tribe numbers fewer than 100; they speak a language similar to that of the Yawalapití, from whom they may have broken away at some earlier time. The tribe maintains isolation form other groups in the Xingú Indian Park."" (Villas Boas, Orlando and Cláudio Villas Boas. 1973. Xingú: The Indians, their Myths.)","","Brazil;","South America","-13.30, -53.44"
"6661","gtu","Aghu-Tharnggala","Aghu Tharnggalu; Kuku-Mini; Ikarranggali; Aghu-Tharrnggala; Aghu; Agu-Tarnggele; Aku-Danggela; Darnggele; Darnggelle; Aghu Tharnggala; Gogo Mini;","Dormant ()","0?","Pama-Nyungan; Paman","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-15.11729919, 145.810382"
"921","agx","Aghul","Agul; агъул чӀал; Ağul ç'al; агульский язык; Aghulshuy; Aguly;","Threatened (40 percent certain, based on the evidence available)","<18,000","Northeast Caucasian; Daghestanian; Lezgic","Agul; Gekxun; Koshan; Keren;","","","Russia;Azerbaijan;","Caucasus;Europe;East Asia","41.75,47.6666666667"
"10554","aif","Agi","Metru","Endangered (20 percent certain, based on the evidence available)","670","Torricelli; Palei","","","","Papua New Guinea;","Pacific","-3.49, 142.39"
"1565","agr","Aguaruna","Aguajun; Ahuajun; Awaruna; Awahun; Awajún; Aguaruna; Aents","Vulnerable (20 percent certain, based on the evidence available)","~55,000","Chicham family (Jivaroan)","","","Known to its speakers as iiniá chicham.","Peru;","South America","-5.0,-78.0"
"3806","aug","Aguna","Awuna; Agunaco;","Threatened (20 percent certain, based on the evidence available)","3,470","Niger-Congo; Atlantic-Congo; Kwa","","","","Benin;","Africa",""
"3334","wmi","Agwamin","Ak Waumin; Ak-Waumin; Egwamin; Ewamin; Gwamin; Wailoolo; Walamin; Walming; Waumin; Wawmin; Wimanja; Wommin; Wakaman; Warkaman; Warkeeman; Warkamin; Warkeemon;Wamin;","Critically Endangered (80 percent certain, based on the evidence available)","1","Pama-Nyungan; Paman","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-17.83386864,144.2350367"
"10816","axam1237","Ahamb","Axamb; Akhamb; Akamb; naujin sdrato [nauˈtʃin sndraˈto] ‘our language’","Endangered (100 percent certain, based on the evidence available)","968","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu; Southeastern Malekula","","","","Vanuatu;","Pacific","-16.517, 167.652"
"3690","ahn","Àhàn","Ahaan; Ahan","Endangered (20 percent certain, based on the evidence available)","300","Niger-Congo; Atlantic-Congo; Benue-Congo; Defoid","","","","Nigeria;","Africa","7.762, 5.724"
"761","aht","Ahtna","Ahtena; Nabesna; Tanana; Ah-tena; Atna; Copper River; Mednovskiy;","Critically Endangered (100 percent certain, based on the evidence available)","30","Athabaskan-Eyak-Tlingit; Athabaskan;","","","","USA;","North America","62.7547,-144.3164"
"669","tba","Aikanã","Aikaná; Huarí; Warí; Masaká; Tubarão; Kasupá; Mundé; Corumbiara; Huari; Tubaro; Wari; Uari; Kolumbiara;","Vulnerable (80 percent certain, based on the evidence available)","175-200","Isolate; South American","Masaká;","","","Brazil;","South America","-12.6666666667,-60.6666666667"
"10552","ymo","Aiku","Yangum Mon; Malek; Menandon; Minendon; Monanda; Monandu; Umgrak-Aiku","Endangered (20 percent certain, based on the evidence available)","819","Torricelli; Palei","","","","Papua New Guinea;","Pacific",""
"3699","ail","Aimele","Eibela; Kware;","Endangered (20 percent certain, based on the evidence available)","140","Trans-New Guinea; Awyu","","","","Papua New Guinea;","Pacific","-6.751896, 142.745361"
"3700","aim","Aimol","Langrong; Aimal;","Endangered (40 percent certain, based on the evidence available)","2,640","Sino-Tibetan; Kukish","Langrong;","","","India;","South Asia","24.4971,93.6145"
"3692","aic","Ainbai","","Endangered (40 percent certain, based on the evidence available)","110","Border; Bewani","","","Laycock (1973) identifies the two Ainbai-speaking villages as speaking Pagi [pgi], but Brown (1980) classifies Ainbai as a separate language.","Papua New Guinea;","Pacific","-3.1, 141.2"
"3691","aib","Ainu (China)","Aynu; Aini; Abdal; Eynu; Äynu; 艾努語","Threatened (60 percent certain, based on the evidence available)","< 12,000","Turkic; Central Asian Turkic","","","","China;","East Asia","43.843, 87.633; 37.887, 77.417; 37.164, 79.941"
"1212","ain","Ainu (Japan)","Ainu Itak; Aynu itak; Kurili; アイヌ　イタㇰ; アイヌ語; ","Critically Endangered (80 percent certain, based on the evidence available)","2","Isolate","Hokkaido; Taraika; Sakhalin; Kuril","","","Japan;","East Asia","43.0,143.0"
"10644","aki","Aiome","Ayom","Endangered (20 percent certain, based on the evidence available)","620","Lower Sepik-Ramu; Ramu; Middle Ramu","","","","Papua New Guinea;","Pacific","-5.13, 144.76"
"10330","mmq","Aisi","Musak; Green Miao; Blue Miao; Red Miao; White Miao;","Endangered (60 percent certain, based on the evidence available)","~250","Trans-New Guinea; Madang","","","","Papua New Guinea;","Pacific","-5.405093, 145.175755"
"1426","aio","Aiton","Aitonia; Sham Doaniya","Threatened (60 percent certain, based on the evidence available)",">1,000","Tai-Kadai; Kam-Tai; Be-Tai; Tai; Southwest-Central Tai; Southwestern Tai","","","","India;","South Asia","26.6523,94.2901"
"10349","nfl","Äiwoo","Reef; Ayiwo; Naaude; Aiwo; Gnivo; Nivo; Nifilole; Lomlom; Reef Islands; Reefs; Äiwo; Aïwo; Reef Islands-Santa Cruz Sub-Family","Vulnerable (100 percent certain, based on the evidence available)","7,926","Austronesian; Malayo-Polynesian; Oceanic; Temotu","","Although children are still learning Äiwoo, the language is in danger from rising sea levels. Speakers may need to move to Santa Cruz or Honiara to survive in the longer term, leading to an increase in the use of Pijin, and potentially the disappearance of the Äiwoo language.","","Solomon Islands;","Pacific","-9.438950, -171.205463;-10.303377, 166.306967"
"3703","aja","Aja","Ajja; Adja;","Endangered (20 percent certain, based on the evidence available)","200","Kresh-Aja","","","","Sudan;","Africa","7.33333333333,25.6666666667"
"8889","muc","Ajumbu","Mbu'","Endangered (20 percent certain, based on the evidence available)","200-300","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Cameroon;","Africa",""
"1269","akq","Ak","","Severely Endangered (80 percent certain, based on the evidence available)","<80","Sepik; Yellow River","","","","Papua New Guinea;","Pacific","-3.6093,141.6604"
"5054","soh","Aka","Sillok; Jebels Sillok; Jebel Silak; Fa-C-Aka;","Endangered (20 percent certain, based on the evidence available)","A few hundred","Eastern Jebel","","","","Sudan;","Africa","11.0112,34.2333"
"10715","akm","Aka-Bo","Bo; Ba","Dormant ()","","Great Andamanese;","","","","India;","South Asia","13.270513, 92.837538"
"10716","ack","Aka-Kora","Kora; Khora; Aka-Khora; Aka-Cora;","Dormant ()","","Great Andamanese;","","","","India;","South Asia","13.390518, 93.040969"
"651","knj","Akateko","Acatec; Kanjobal (Western); Kanjobal, Western; Acateco; Acatec; San Miguel Acatán Kanjobal; Conob; Western Kanjobal; Western Q'anjob'al; Kanjobal de San Miguel Acatán;","Threatened (20 percent certain, based on the evidence available)","5,572","Mayan; Q'anjob'alan-Chujean","","","","Guatemala;Mexico;","Mexico, Central America, Caribbean","15.8333333333,-91.8333333333"
"3698","aik","Ake","Aike; Akye;","Vulnerable (60 percent certain, based on the evidence available)","<2,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau","","","","Nigeria;","Africa","8.947480, 8.835342"
"3597","aeu","Akeu","Aki; Akui; 阿克","Threatened (20 percent certain, based on the evidence available)","~5,000","Sino-Tibetan; Lolo-Burmese","","","","China;Myanmar;Thailand;","Southeast Asia;East Asia","21.5833,101.0166"
"941","akv","Akhvakh","Axvax; Ашвaлъи мицIи; авахский язык; Akhwakh","Threatened (60 percent certain, based on the evidence available)","~5,000","Northeast Caucasian; Daghestanian; Andic","Kaxib;","The Akhvakh language belongs to the Andi subgroup of the Avar-Ando-Dido or northwestern group of the Dagestan languages and is divided into two dialects: North-Akhvakh and South-Akhvakh. The first is homogeneous, while the latter is further divided into the Tlyanub and Tsegob subdialects. The difference between the South-Avar and North-Avar is rather considerable and users of the two dialects prefer communicating in the Avar language. (The Red Book of the Peoples of the Russian Empire, 2008)","","Russia;","Caucasus;Europe;East Asia","42.3333333333,46.3333333333"
"942","sia","Akkala Saami","Ahkkil; Babino Saami; Akkalansaame; ču´kksuâlis; бабинский саамский язык; Аккала; Babinsk; Akkala Sami; ","Critically Endangered (60 percent certain, based on the evidence available)","1","Uralic; Saami","","","","Russia;","Caucasus;Europe;East Asia","67.774470, 32.126267"
"4663","miw","Akoye","Mahigi; Akoinkake; Lohiki; Obi; Mai-Hea-Ri; Maihiri; Angoya; Akoyi; Maiheari;","Endangered (20 percent certain, based on the evidence available)","800","Trans-New Guinea; Angan","","","","Papua New Guinea;","Pacific","-7.814405, 145.675964;  -7.963272, 145.775442"
"537","aku","Akum","Anyar; Okum;","Endangered (20 percent certain, based on the evidence available)","600","Niger-Congo; Atlantic-Congo; Benue-Congo; Jukunoid; Yukuben-Kuteb","","","","Nigeria;Cameroon;","Africa","6.73,9.9316"
"1567","aqz","Akuntsú","Akunsu; Akunts'u","Critically Endangered (20 percent certain, based on the evidence available)","3","Tupian; Tuparian","","","The Akuntsú people are survivors of a genocide promoted by the colonizers and settlers of the Southeastern region of Rondônia during the last three decades of the 20th century. They were first contacted by the National Foundation of Indians of Brazil (FUNAI) only in 1995.","Brazil;","South America","-10.9, -63.6"
"1568","ako","Akuriyo","Tiriyometesem; Triometesen; Akurio; Akoerio; Akuri; Akurijo; Akuliyo; Oyaricoulet; Triometesem; Wama; Wayaricuri;","","","Cariban; Guianan","","","","Suriname;","South America","2.8442,-55.7556"
"6998","syy","Al-Sayyid Bedouin Sign Language","ABSL","Endangered (20 percent certain, based on the evidence available)",">150","Sign Language; Near Eastern","","","","Israel;","Near East","30.377614, 34.886169"
"670","akz","Alabama","Alibamu;","Endangered (20 percent certain, based on the evidence available)","250-300","Muskogean","","","","USA;","North America","30.7158,-94.7028"
"943","nog-tat","Alabugat Tatar","Nogai-Tatar; Tatar-Noghay; Alabugat Tatar-Nogai; ","Threatened (100 percent certain, based on the evidence available)","~400","Turkic; Kipchak","Nogay","Outlying dialect of Nogay with deep influences from Tartar and other Turkic languages, in particular, Kalmyk.","","Russia;","Caucasus;Europe;East Asia","43.59, 46.66"
"8195","ala","Alago","Aragu; Arago; Argo; Idoma Nokwu;","Vulnerable (20 percent certain, based on the evidence available)","15,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Idomoid","Agwatashi; Keana; Doma; Assaikio;","","","Nigeria;","Africa","8.110174, 9.142930;8.492577, 8.518839"
"5988","wbj","Alagwa","Alagwaisi; Alagwase; Alawa; Chasi; Asi; Wasi; Kialagwa; Wasai; Uwassi;","Threatened (60 percent certain, based on the evidence available)","<10,000","Afro-Asiatic; Cushitic; South Cushitic","","","","Tanzania;","Africa","-5.5,35.75"
"10616","amp","Alamblak","Arambak","Threatened (20 percent certain, based on the evidence available)","1,200","Sepik; Sepik Hill; Eastern Sepik Hill","Karawari; Kuvenmas","","","Papua New Guinea;","Pacific","-4.66, 143.32"
"3832","alh","Alawa","Alaua; Allaura; Allawa; Allowa; Allowiri; Allua; Alowa; Galawa; Galleewo; Kallana; Kallaua; Leealowa; Warliburru;","Critically Endangered (60 percent certain, based on the evidence available)","17","Gunwinyguan; Maran","","","","Australia;","Australia","-15.53391918,134.2028228"
"8792","sant1448, sant1450","Albarradas Zapotec","Santo Domingo Albarradas Zapotec; Zapotec; Albarradas; Zapoteco de Santo Domingo Albarradas","Threatened (80 percent certain, based on the evidence available)","5,500","Otomanguean; Zapotecan","Santo Domingo Albarradas; San Miguel","1 of approx. 11-12 Central Zapotec languages.
","Ethnologue list 57 Zapotec languages. INALI gives 62 ""variantes"" of Zapoteco. SIL and INALI distinguish varieties of Zapotec, some of which are mutually intelligible dialects of the same language. The exact number of distinct languages is unclear. The most current linguistic research suggests approximately 18 Zapotec languages distributed in 5 major groups (language areas): (1) Northern (ca. 5 languages); (2) Central (ca. 7 languages); (3) Southern (ca. 4 languages); (4) Papabuco (1 language); (5) Western (1 language).

""While there is no consensus yet as to the dialectal classification of Zapotec languages, the point to be made here is that the diversity of Zapotec languages is extremely rich."" (Pérez Báez 2011)","Mexico;","Mexico, Central America, Caribbean","17.066921, -96.200710"
"4184","gah","Alekano","Gahuku; Gafuku; Gahuku-Gama; Zo'maga;","Vulnerable (20 percent certain, based on the evidence available)","25,000","Trans-New Guinea; Kainantu-Goroka","","","","Papua New Guinea;","Pacific","-6.0,145.416666667"
"671","ale","Aleut","Unangan; Unangam Tunuu; алеутский язык; Унáҥам Тунý; Унаңан; Unanghan; Amara; Aleutian; Ungangan; Unangany; アレウト語; アリュート語; ","Endangered (20 percent certain, based on the evidence available)","70-100","Eskimo-Aleut; Aleut","dialects: Attu (Western), Atka and Unalaska (Eastern). The present-day Aleuts are bilingual. (The Red Book of the Peoples of the Russian Empire, 2008)","","","Russia;USA;","Caucasus;Europe;North America;East Asia","54.7212,-164.4433; 52.2304,-174.1978"
"10642","afk, afp","Alfendio","Arafundi; Nanubae; Aunda; Kapagmai; Tapei; Imboin; Lower Arafundi; Upper Arafundi","Endangered (20 percent certain, based on the evidence available)","633","Arafundi","","","The Arafundi languages are closely related, possibly forming a dialect chain.  In the Catalogue they are classified as three languages, but this is not the only possible categorization.

Ethnologue (18th edition) includes two entries that correspond to what Laycock (1973) identifies as Alfendio: Nanubae [afk] and Tapei [afp].","Papua New Guinea;","Pacific","-4.75, 143.64"
"944","cat-alg","Algherese Catalan","","Vulnerable (60 percent certain, based on the evidence available)","20,000-30,000","Indo-European; Italic; Romance; Western Romance","Catalan","An outlying dialect of Catalan, spoken in the northwest of Sardinia.  It has been spoken in the area since  Catalan invaders repopulated the city of Alghero (L'Alguer in Catalan) after expelling the indigenous Sardinian population in 1372 AD.","","Italy;","Europe","40.564318,8.328667"
"7175","1kt","Alipur Sign Language","APSL","Threatened (20 percent certain, based on the evidence available)","","Sign Language; South Asian","","","","India;","South Asia",""
"3833","all","Allar","Alan; Alanmar; Alar; Allan; Chatans","Endangered (20 percent certain, based on the evidence available)","350","Dravidian; South-Central Dravidian","","","","India;","South Asia","11.108169,76.166224"
"3693","aid","Alngith","Alngidh; Alingid; Laynngithy; Lengiti; Lenngiti; Alngid; Limrett; Laynngith; Winduwinda; Alingit; Alŋit̯; Laynŋit̯;","Critically Endangered (20 percent certain, based on the evidence available)","3","Pama-Nyungan; Paman","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-12.57310489,141.8691543"
"10856","","Alto Huallaga Quechua","Upper Huallaga Quechua; Eastern Huánuco Quechua;","","","Quechuan; Quechua I;","","","According to Torero (1964), this (Alto Huallaga) is an area with separate characteristics, distinct from Huallaga Quechua.","Peru;","South America",""
"8114","qvm","Alto Marañón Quechua","Margos-Yarowilca-Lauricocha Quechua; Margos-Yarowilca-Lauricocha Quechua; Upper Marañón Quechua","Vulnerable (60 percent certain, based on the evidence available)","83,400","Quechuan; Quechua I","","","The question of how to distinguish between entities that are dialects of a single language vs. those that are separate languages is particularly serious in the case of Quechuan languages and dialects, and much work remains to be done. Though it is well-known and very clear that there are a number of distinct languages in the Quechuan complex, some very distinct, the tendency to consider them all merely dialects of “Quechua” persists in many circles. (Cerrón-Palomino 1987.)

Alto Marañón Quechua [qvm] is sometimes listed as an alternate name of Alto Huallaga [qub], as both are Ap-am-ah Central Quechuan languages. However, according to some linguists the two are different languages, and according to others they are dialects.

This area corresponds to the Upper Marañón Valley in southwestern Huánuco; this variant should be close to Huallaga (Huánuco) Quechua (Willem Adelaar personal communication).","Peru;","South America","-9.932, -76.242"
"10547","dia","Alu","Dia; Galu; Metru; Sinagen","Threatened (20 percent certain, based on the evidence available)","1,880","Torricelli; Wapei","","","","Papua New Guinea;","Pacific","-3.39, 142.25"
"3567","xua","Alu Kurumba","Alu Kurumba Nonstandard Kannada; Pal Kurumba; Hal Kurumba; Kurumba, Alu","Threatened (20 percent certain, based on the evidence available)","~1,000","Dravidian; South Dravidian","","","","India;","South Asia","11.35, 76.80"
"1329","alp","Alune","Sapalewa; Patasiwa Alfoeren;","Vulnerable (20 percent certain, based on the evidence available)","17,200","Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku","Kairatu; North Coastal Alune; Central West Alune; South Alune; Central East Alune;","","","Indonesia;","Southeast Asia","-3.0,128.333333333"
"7249","yna","Aluo","阿羅語; Ala; Naluo; Yala; Lila; Laka; Gan Yi","Endangered (40 percent certain, based on the evidence available)","<40,000","Sino-Tibetan; Lolo-Burmese","","","","China;","East Asia","25.9368, 102.1839"
